,date,title,price,url
32,6/24/2025,🔋 100% MacBook Air M3 Chip 2024 15 inch,"S$1,280",https://www.carousell.sg/p/%F0%9F%94%8B-100-macbook-air-m3-chip-2024-15-inch-1376054996/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=36
33,6/24/2025,Asus ROG Zephyrus G14 Gaming Laptop (Ryzen 9 4900HS | RTX 2060 Max-Q | 16GB RAM | 1TB SSD | 120Hz),S$999,https://www.carousell.sg/p/asus-rog-zephyrus-g14-gaming-laptop-ryzen-9-4900hs-rtx-2060-max-q-16gb-ram-1tb-ssd-120hz-1361182313/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=37
34,6/24/2025,ThinkPad X1 Carbon G13 Ultra Laptop | 14.0'' | OLED | Ultra 7 258V/32GB/1TB | Windows 11 Pro Microsoft Office 2021,"S$3,799",https://www.carousell.sg/p/thinkpad-x1-carbon-g13-ultra-laptop-14-0-oled-ultra-7-258v-32gb-1tb-windows-11-pro-microsoft-office-2021-1368824438/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=38
35,6/24/2025,ThinkPad P1 Gen 4 Lenovo Mobile Workstation Laptop | 16.0'' 4K Touch | i7-11850H vPRO/32GB/512GB SSD | Windows 11 Pro Microsoft Office 2021,"S$1,199",https://www.carousell.sg/p/thinkpad-p1-gen-4-lenovo-mobile-workstation-laptop-16-0-4k-touch-i7-11850h-vpro-32gb-512gb-ssd-windows-11-pro-microsoft-office-2021-1374632682/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=39
36,6/24/2025,Lenovo ThinkPad T490 Business Laptop | 14.0'' | i5-8365U 16GB DDR4 RAM 256GB NVMe SSD | Windows 11 Pro Microsoft Office 2021,S$389,https://www.carousell.sg/p/lenovo-thinkpad-t490-business-laptop-14-0-i5-8365u-16gb-ddr4-ram-256gb-nvme-ssd-windows-11-pro-microsoft-office-2021-1318681299/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=40
37,6/24/2025,Precision 5550 powerful professional mobile workstation | Intel Core i9-10885H Gen Processor | 64GB RAM with 1TB SSD NVME | NVIDIA Quadro T2000 GPU 4GB Dedicated | 15.6-inch 4K OLED (3840x2400) Touchscreen Display | Windows 11Pro & MS office installed,"S$1,099",https://www.carousell.sg/p/precision-5550-powerful-professional-mobile-workstation-intel-core-i9-10885h-gen-processor-64gb-ram-with-1tb-ssd-nvme-nvidia-quadro-t2000-gpu-4gb-dedicated-15-6-inch-4k-oled-3840x2400-touchscreen-display-windows-11pro-ms-office-installed-1376742954/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=41
38,6/24/2025,Laptop,S$250,https://www.carousell.sg/p/laptop-1365310538/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=42
39,6/24/2025,Microsoft Surface Pro 4 with Accessory,S$220,https://www.carousell.sg/p/microsoft-surface-pro-4-with-accessory-1376741929/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=43
40,6/24/2025,"RTX3050Ti i7-11800H 16GB 1TB SSD 15.6"" QHD IPS 165Hz Acer Predator Helios 300 Gaming Laptop",S$750,https://www.carousell.sg/p/rtx3050ti-i7-11800h-16gb-1tb-ssd-15-6-qhd-ips-165hz-acer-predator-helios-300-gaming-laptop-1376741770/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=45
41,6/24/2025,ASUS Zephyrus G14,S$999,https://www.carousell.sg/p/asus-zephyrus-g14-1376741441/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=46
42,6/24/2025,MacBook Pro 13-inch (keyboard to fix),S$300,https://www.carousell.sg/p/macbook-pro-13-inch-keyboard-to-fix-1376741203/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=47
43,6/24/2025,Dell 7210 2-in-1 tablets i7 10th Gen,S$650,https://www.carousell.sg/p/dell-7210-2-in-1-tablets-i7-10th-gen-1376739479/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=48
44,6/24/2025,"Apple MacBook Pro 2019 13"" i5 8GB 128 GB",S$400,https://www.carousell.sg/p/apple-macbook-pro-2019-13-i5-8gb-128-gb-1376738918/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=49
45,6/24/2025,Dell 7200 8th i7 Windows 11 Fingerprint NFC,S$450,https://www.carousell.sg/p/dell-7200-8th-i7-windows-11-fingerprint-nfc-1376737838/?t-id=HVDI3_ADQA_1750772142504&t-referrer_browse_type=categories&t-referrer_category_id=1793&t-referrer_page_type=category_browse&t-referrer_request_id=Cx3aXz1Sk5gfrvRS&t-referrer_sort_by=popular&t-tap_index=50
